2025-06-12 14:29:35,360 - INFO - Progress: 71000 files scanned, 1 large files found
2025-06-12 14:29:35,366 - INFO - Progress: 72000 files scanned, 1 large files found
2025-06-12 14:29:35,376 - INFO - Progress: 73000 files scanned, 1 large files found
2025-06-12 14:29:35,385 - INFO - Progress: 74000 files scanned, 1 large files found
2025-06-12 14:29:35,393 - INFO - Progress: 75000 files scanned, 1 large files found
2025-06-12 14:29:35,401 - INFO - Progress: 76000 files scanned, 1 large files found
2025-06-12 14:29:35,415 - INFO - Progress: 77000 files scanned, 1 large files found
2025-06-12 14:29:35,421 - INFO - Progress: 78000 files scanned, 1 large files found
2025-06-12 14:29:35,427 - INFO - Progress: 79000 files scanned, 1 large files found
2025-06-12 14:29:35,433 - INFO - Progress: 80000 files scanned, 1 large files found
2025-06-12 14:29:35,442 - INFO - Progress: 81000 files scanned, 1 large files found
2025-06-12 14:29:35,449 - INFO - Progress: 82000 files scanned, 1 large files found
2025-06-12 14:29:35,455 - INFO - Progress: 83000 files scanned, 1 large files found
2025-06-12 14:29:35,462 - INFO - Progress: 84000 files scanned, 1 large files found
2025-06-12 14:29:35,473 - INFO - Progress: 85000 files scanned, 1 large files found
2025-06-12 14:29:35,483 - INFO - Progress: 86000 files scanned, 1 large files found
2025-06-12 14:29:35,495 - INFO - Progress: 87000 files scanned, 1 large files found
2025-06-12 14:29:35,518 - INFO - Progress: 88000 files scanned, 1 large files found
2025-06-12 14:29:35,543 - INFO - Progress: 89000 files scanned, 1 large files found
2025-06-12 14:29:35,557 - INFO - Progress: 90000 files scanned, 1 large files found
2025-06-12 14:29:35,578 - INFO - Progress: 91000 files scanned, 1 large files found
2025-06-12 14:29:35,594 - INFO - Progress: 92000 files scanned, 1 large files found
2025-06-12 14:29:35,605 - INFO - Progress: 93000 files scanned, 1 large files found
2025-06-12 14:29:35,617 - INFO - Progress: 94000 files scanned, 1 large files found
2025-06-12 14:29:35,630 - INFO - Progress: 95000 files scanned, 1 large files found
2025-06-12 14:29:35,639 - INFO - Progress: 96000 files scanned, 1 large files found
2025-06-12 14:29:35,652 - INFO - Progress: 97000 files scanned, 1 large files found
2025-06-12 14:29:35,666 - INFO - Progress: 98000 files scanned, 1 large files found
2025-06-12 14:29:35,683 - INFO - Progress: 99000 files scanned, 1 large files found
2025-06-12 14:29:35,692 - INFO - Progress: 100000 files scanned, 1 large files found
2025-06-12 14:29:35,701 - INFO - Progress: 101000 files scanned, 1 large files found
2025-06-12 14:29:35,711 - INFO - Progress: 102000 files scanned, 1 large files found
2025-06-12 14:29:35,725 - INFO - Progress: 103000 files scanned, 1 large files found
2025-06-12 14:29:35,736 - INFO - Progress: 104000 files scanned, 1 large files found
2025-06-12 14:29:35,748 - INFO - Progress: 105000 files scanned, 1 large files found
2025-06-12 14:29:35,758 - INFO - Progress: 106000 files scanned, 1 large files found
2025-06-12 14:29:35,769 - INFO - Progress: 107000 files scanned, 1 large files found
2025-06-12 14:29:35,777 - INFO - Progress: 108000 files scanned, 1 large files found
2025-06-12 14:29:35,789 - INFO - Progress: 109000 files scanned, 1 large files found
2025-06-12 14:29:35,799 - INFO - Progress: 110000 files scanned, 1 large files found
2025-06-12 14:29:35,809 - INFO - Progress: 111000 files scanned, 1 large files found
2025-06-12 14:29:35,821 - INFO - Progress: 112000 files scanned, 1 large files found
2025-06-12 14:29:35,833 - INFO - Progress: 113000 files scanned, 1 large files found
2025-06-12 14:29:35,843 - INFO - Progress: 114000 files scanned, 1 large files found
